stop_id,stop_name
740008147,Allebäcke
740017579,Alledal
740033262,Alledal
740038084,Allégatan
740067619,Allégården
740074368,Allégården
740027408,Allejaur
740042354,Allemarksvägen
740047774,Allén
740062610,Allén
740076361,Allèn Hanåker
740065772,Alléplan
740021469,Allero
740016527,Allerum kyrka
740021771,Allerum skola
740017550,Allerum Tornhultsvägen
740036055,Allerums Mosseväg
740056220,Alléskolan
740071579,Allestorp
740030029,Allevad
740047585,Allevägen
740032109,Allévägen
740059960,Allévägen
740065770,Allévägen
740066347,Allévägen
740066750,Allévägen
740073174,Allévägen Tele24
740051719,Allfargatan
740069432,Allfartsvägen
740047327,Allfarvägen
740052705,Allhamra
740071063,Allkvia
740060659,Allmag
740060660,Allmags gård
740056916,Allmagsgården
740034790,Allmogevägen
740064927,Allmänna vägen
740018954,Allmänningen
740040398,Allmänningen
740032026,Allsjömåla
740027549,Allsta
740027550,Allsta skola
740073339,Allsån
740042542,Alltorp
740029206,Allviken
740055843,Alma
740025006,Almar
740067305,Almarevägen
740051419,Almarkaröd
740057793,Almarslätten
740013789,Almarödskorset
740048281,Almberg vsk
740010011,Almbro
740050123,Almbro skola
740031197,Almdala
740061595,Almedal
740063737,Almedal
740073404,Almedalen
740069517,Almedalsvägen
740060807,Almekärrs platå
740064928,Almenäs
740012169,Almered
740039966,Almesåkravägen
740035751,Almesäng
740065289,Almhester
740053614,Almlunda
740065822,Almlunda
740020235,Almnäs vägskäl
740026432,Almsele 90
740043776,Almsta
740054581,Almstad
740050178,Almsvägen
740008634,Almunge Gullhagen
740007096,Almunge Järnvägsövergången
740008942,Almunge Sjöhagen
740001008,Almunge skola
740012806,Almunge station
740008474,Almungeberg
740071641,Almungs
740069758,Almvik
740067967,Almvik brygga vägskäl
740014090,Almvik by
740053616,Almvik skola
740032215,Almvägen
740043662,Almvägen
740050416,Almvägen
740066188,Almvägen
740067608,Almvägen
740069030,Almvägen
740069082,Almvägen
740016522,Almåsa
740016520,Almåsa Almåsagården
740016518,Almåsa Hagavik
740016517,Almåsa Norra
740032267,Almöbron
740032894,Almösundsvägen
740013378,Alnarp Motorvägen
740010013,Alnaryd
740022084,Alnängarnas koloniområde
740022096,Alnängsbadet
740072117,Alnö Kyrkogård
740027814,Alnöbron västra
740055564,Alorp norrgård
740055563,Alorp södergård
740038640,Alphyddan
740063676,Alphyddan
740066199,Alphyddan
740068221,Alphyddan
740038070,Alphyddan (Sundby)
740037918,Alphyddan (Svalboviken)
740050149,Alphyddan Norrbyås
740062655,Alphyddevägen
740066305,Alphyddevägen
740039256,Alpnäsvägen
740069580,Alpvägen
740024215,Alsberg
740049255,Alsbo
740046330,Alsbo vsk
740016190,Alsbäck
740025279,Alsbäck
740010014,Alseda kyrka
740040478,Alseda Nyevägen
740024381,Alseda Stationsvägen
740017824,Alsen Berge vägskäl
740013422,Alsen bygdegård
740013425,Alsen Kluk
740023495,Alsen Vången
740076015,Alsike Brunnbyvallen
740074190,Alsike Dammgatan
740008468,Alsike Ekedalsvägen
740008469,Alsike Fahlströms väg
740008481,Alsike Finnhagsvägen
740007098,Alsike Gränsgatan
740008678,Alsike kyrka
740008470,Alsike Lärkdrillsvägen
740008745,Alsike Nytorp
740007097,Alsike skola
740012828,Alsike station
740007100,Alsike Sättragatan
740007099,Alsike Vrå skogsväg
740064000,Alsike Åsgatan
740051900,Alsjö
740038504,Alsjötorp
740071052,Alskog
740033191,Alslöv
740033190,Alslöv Bruket
740033189,Alslöv Tre högar
740008968,Alsta
740053302,Alsta vsk
740030541,Alstad byaväg
740016529,Alstad Stationsvägen
740022288,Alstakan
740034460,Alster
740022224,Alster Lantmännen
740074503,"Alster, Klackjärnsliden"
740071496,"Alster, Toppstavägen"
740074504,"Alster, Vammelsvägen"
740014082,Alsterbro Centrum
740022421,Alsterbro vägskäl Fröseke
740037064,Alsterfors
740024759,Alstermo Larmgatan
740071363,Alstermo skola
740050561,Alstermo terminal
740000091,Alstermo Värdshuset
740071631,Alströmervallen
740038650,Alstugan
740069419,Alstäde
740067923,Alsvassen
740067918,Alsvik
740024884,Alsvik brygga
740056690,Alsätravägen
740054241,Alsättersgatan
740071735,Altersund Strandgården
740009146,Altomta
740035519,Altona
740006088,Altorp
740020868,Altorp station
740048499,Altsarbyn
740027050,Alttajärvi
740067179,Altuna
740008974,Altuna (Börje)
740009671,Altuna bygdegård
740009675,Altuna kyrka
740067818,Aludden
740007108,Alunda August Jans väg
740000734,Alunda bussterminal
740007110,Alunda Furuhöjdskyrkan
740052547,Alunda Gjuteri
740009760,Alunda kyrka
740009771,Alunda Marma
740009768,Alunda Olandsskolan
740010090,Alunda Parkvägen
740007109,Alunda Rundvägen
740012901,Alunda Solvarvet
740009761,Alunda Sunds vägskäl
740024588,Alunda vårdcentral
740009814,Alunda vägskäl
740051440,Alunskolan
740043021,Alunvägen
740071064,Alva
740051693,Alvara
740063570,Alvared
740063569,Alvareds bro
740074579,Alvarsmåla
740055172,Alvastra gård
740001009,Alvastra vägskäl
740021280,Alvesta
740070993,Alvesta
740020362,Alvesta Folkets hus
740024685,Alvesta Forsdalavägen
740024690,Alvesta kyrka
740024689,Alvesta Odlingsvägen
740020361,Alvesta Riksdagsmannagården
740000004,Alvesta station
740024700,Alvesta Svampvägen
740043664,Alvestavägen
740030566,Alvhem
740012048,Alvhem Stationsvägen
740073126,Alvik Alviksvägen
740073132,Alvik Bygdegården
740072967,Alvik Klubbvägen väg 94
740073133,Alvik Knusvägen
740073125,Alvik Mässvägen
740072966,Alvik Pålvägen väg 94
740053572,Alvik Rågholmen
740024925,Alvik Strand Spårv
740045466,Alvik södra
740027297,Alvik Sörby kiosken
740020755,Alvik T-bana
740014860,Alvik vsk Ale väg 94
740073131,Alvik Västgårdsvägen
740042025,Alviken
740055661,Alviken
740065836,Alviken
740072968,Alviksheden väg 94
740046263,Alviksplan
740046264,Alviksvägen
740051461,Alvlösa
740075324,Alvreten (Uppsala)
740069609,Alvsta
740049508,Alvägen
740063244,Alvägen
740060853,Alängen
740059224,Amalia Jönssons Gata
740046239,Ambassaderna
740057062,Ambjörby Kiosken
740057061,"Ambjörby, Folkets hus"
740004321,"Ambjörby, Tempo"
740012084,Ambjörnarp centrum
740062980,Ambjörnsgården
740061951,Ambjörntorp
740016224,Amborsröd
740008036,Ambricka norra
740008035,Ambricka södra
740041195,Amdal
740042069,Amdal
740060361,Amdal norra
740028387,Amerika
740075586,Amerika
740033664,Amfrebo
740071633,Amhult Resecentrum
740059072,Amhults Torg
740075709,Amiralsgatan
740000306,Ammarnäs
740060712,Ammedalen
740016129,Ammenäs
740075680,Ammer
740075681,Ammer norra
740010430,Ammer Travbana
740013244,Ammer väg 87
740033882,Ammås
740057063,Amnerud
740042702,Amneröd
740074337,Amneröd norra
740066961,Amorinavägen
